x,y,value
0,100,1.0
0,102,1.0
0,104,1.0
0,105,1.0
1,105,1.0
1,108,1.0
2,100,1.0
2,102,1.0
2,105,1.0
2,108,1.0
3,99,1.0
3,100,1.0
3,101,1.0
3,104,1.0
4,99,1.0
4,100,1.0
4,101,1.0
4,106,1.0
4,107,1.0
5,99,1.0
5,100,1.0
5,101,1.0
5,102,1.0
5,109,1.0
6,99,1.0
6,100,1.0
6,101,1.0
6,102,1.0
6,103,1.0
6,104,1.0
7,99,1.0
7,100,1.0
7,101,1.0
7,103,1.0
7,104,1.0
7,105,1.0
8,99,1.0
8,100,1.0
8,101,1.0
9,99,1.0
9,100,1.0
9,101,1.0
9,102,1.0
9,104,1.0
9,107,1.0
9,109,1.0
10,105,1.0
10,107,1.0
10,109,1.0
10,110,1.0
10,111,1.0
11,109,1.0
11,110,1.0
11,111,1.0
12,88,1.0
12,89,1.0
12,102,1.0
12,104,1.0
12,106,1.0
13,91,1.0
13,92,1.0
13,93,1.0
13,102,1.0
13,103,1.0
13,104,1.0
13,105,1.0
14,91,1.0
14,92,1.0
14,93,1.0
14,102,1.0
14,107,1.0
15,91,1.0
15,92,1.0
15,93,1.0
16,85,1.0
16,86,1.0
16,87,1.0
16,88,1.0
16,101,1.0
16,103,1.0
16,106,1.0
17,81,1.0
17,82,1.0
17,83,1.0
17,85,1.0
17,86,1.0
17,87,1.0
17,88,1.0
17,104,1.0
17,105,1.0
18,81,1.0
18,82,1.0
18,83,1.0
18,85,1.0
18,86,1.0
18,87,1.0
18,100,1.0
18,104,1.0
18,106,1.0
19,81,1.0
19,82,1.0
19,83,1.0
19,85,1.0
19,86,1.0
19,87,1.0
19,100,1.0
19,104,1.0
19,105,1.0
19,107,1.0
19,109,1.1
19,125,1.0
20,70,1.0
20,76,1.0
20,79,1.0
20,80,1.0
20,81,1.0
20,82,1.0
20,83,1.0
20,84,1.0
20,85,1.0
20,86,1.0
20,87,1.0
20,90,1.0
20,91,1.0
20,92,1.0
20,93,1.0
20,94,1.0
20,96,1.0
20,103,1.0
20,104,1.0
20,105,1.5
20,113,1.5
20,117,1.5
20,119,1.5
20,121,1.5
20,124,1.5
20,125,1.5
20,126,1.5
20,127,1.5
20,128,1.5
21,70,1.0
21,73,1.0
21,75,1.0
21,80,1.0
21,87,1.0
21,90,1.0
21,91,1.0
21,92,1.0
21,105,1.5
21,116,1.5
21,118,1.5
21,123,1.5
21,124,1.5
22,70,1.0
22,75,1.0
22,77,1.0
22,85,1.0
22,89,1.0
22,90,1.0
22,91,1.0
22,92,1.0
22,95,1.0
22,96,1.0
22,103,1.0
22,104,1.0
22,107,1.5
22,113,1.5
22,121,1.5
22,128,1.8
22,129,1.9
23,75,1.0
23,76,1.0
23,90,1.0
23,91,1.0
23,92,1.0
23,103,1.0
23,104,1.0
23,106,1.5
23,107,1.5
23,116,1.5
23,118,1.5
23,122,1.9
23,123,1.9
23,124,1.9
24,70,1.0
24,71,1.0
24,72,1.0
24,74,1.0
24,75,1.0
24,76,1.0
24,77,1.0
24,78,1.0
24,79,1.0
24,80,1.0
24,84,1.0
24,85,1.0
24,89,1.0
24,93,1.0
24,96,1.0
24,100,1.0
24,102,1.0
24,103,1.0
24,109,1.5
24,110,1.5
24,111,1.5
24,118,1.5
24,123,2.0
25,70,1.0
25,72,1.0
25,73,1.0
25,77,1.0
25,78,1.0
25,79,1.0
25,80,1.0
25,82,1.0
25,84,1.0
25,86,1.0
25,88,1.0
25,90,1.0
25,91,1.0
25,94,1.0
25,98,1.0
25,100,1.0
25,101,1.0
25,102,1.0
25,103,1.0
25,104,1.0
25,105,1.5
25,108,1.5
25,109,1.5
25,110,1.5
25,111,1.5
25,114,1.5
25,117,1.5
25,118,1.5
25,119,1.5
25,120,1.5
25,122,2.0
25,123,2.0
25,124,2.0
25,125,2.0
25,126,2.0
26,72,1.0
26,76,1.0
26,77,1.0
26,79,1.0
26,80,1.0
26,82,1.0
26,90,1.0
26,91,1.0
26,94,1.0
26,97,1.0
26,100,1.0
26,101,1.0
26,102,1.0
26,105,1.5
26,110,1.5
26,111,1.5
26,112,2.0
26,113,1.5
26,114,1.5
26,117,1.5
26,118,1.5
26,119,1.5
26,121,1.8
26,123,2.0
26,124,2.0
26,125,2.0
26,128,2.0
26,129,2.0
26,130,2.0
27,68,1.0
27,69,1.0
27,70,1.5
27,71,1.5
27,72,1.5
27,74,1.5
27,78,1.5
27,82,1.5
27,84,1.5
27,88,1.0
27,89,1.0
27,90,1.0
27,91,1.5
27,99,1.0
27,100,1.0
27,101,1.0
27,102,1.0
27,107,1.5
27,108,1.5
27,109,1.5
27,111,1.5
27,112,2.0
27,117,1.5
27,118,2.0
27,119,2.0
27,120,1.8
27,121,1.9
27,123,2.0
27,124,2.0
27,125,2.0
27,126,2.0
27,128,2.0
27,129,2.0
27,130,2.0
28,68,1.0
28,69,1.0
28,70,1.5
28,71,1.5
28,72,1.5
28,73,1.5
28,86,1.0
28,88,1.0
28,89,1.0
28,90,1.0
28,91,1.5
28,92,1.5
28,93,1.5
28,94,1.5
28,95,1.5
28,99,1.0
28,101,1.0
28,107,1.5
28,108,1.5
28,109,1.5
28,110,1.5
28,111,1.5
28,112,1.5
28,117,1.5
28,118,2.0
28,119,2.0
28,123,2.0
28,124,2.0
28,125,2.0
28,126,1.9
28,127,1.5
28,128,1.5
28,129,1.5
28,130,1.5
29,68,1.0
29,69,1.0
29,70,1.5
29,71,1.5
29,72,1.5
29,75,1.5
29,79,1.5
29,80,1.5
29,81,1.5
29,82,1.5
29,87,1.0
29,88,1.0
29,89,1.0
29,90,1.0
29,91,1.5
29,92,1.5
29,94,1.5
29,96,1.5
29,107,1.5
29,108,1.5
29,109,1.5
29,110,1.5
29,111,1.5
29,112,1.5
29,114,1.5
29,116,1.5
29,119,1.9
29,124,2.0
29,127,1.5
29,128,1.5
29,129,1.5
29,130,1.5
30,62,1.0
30,68,1.0
30,69,1.0
30,70,1.5
30,71,1.5
30,72,1.5
30,73,1.5
30,74,1.5
30,77,1.5
30,81,1.5
30,84,1.5
30,85,1.0
30,91,1.5
30,92,1.5
30,94,1.5
30,99,1.0
30,105,1.5
30,108,1.5
30,110,1.5
30,111,1.5
30,112,1.5
30,117,1.8
30,120,1.9
30,122,2.0
31,64,1.0
31,70,1.5
